name,ratings_average,ratings_count,acidity,fizziness,sweetness,tannin
The Laird,4.7,627,2.9231873,0.0,2.4446697,3.095071
De Buris Amarone della Valpolicella Classico Riserva,4.7,574,2.5711343,0.0,3.203101,2.291238
Montrachet Grand Cru,4.7,516,3.2615967,0.0,2.0329998,3.3338401
Eszencia,4.7,488,3.5956354455095862,0.0,1.7896918,3.3338401
The Black Lion,4.7,476,3.408501,0.0,1.549335,3.27289
Montrachet Grand Cru,4.7,459,3.2430873,0.0,1.9855789,3.3338401
Cristal Vinothèque,4.7,426,4.4084377,4.195047,1.7896918,3.3338401
La Vina de Corteo,4.7,374,2.9370162,0.0,2.3388197,3.6585574
Échézeaux Grand Cru,4.7,359,4.273491,0.0,2.3618987,2.5460024
Fieramonte Amarone della Valpolicella Riserva,4.7,315,2.3013904,0.0,3.054878,2.4112194
Permassimo,4.7,186,3.5799327,0.0,1.2900506,3.284798
Ligne de Crete Les Grandes Vignes Hermitage,4.7,76,3.6480408,0.0,1.631081,4.2129054
Zeltinger Sonnenuhr Beerenauslese,4.7,44,4.7252946,0.0,3.4264705,3.3338401
Scharzhofberger Riesling Eiswein,4.7,30,3.5956354455095862,0.0,1.7896918,3.3338401
Cabernet Sauvignon,4.6,157944,3.2843688,0.0,1.9367127,3.1468155
Brut Champagne,4.6,146377,4.3640895,4.2735925,1.7896918,3.3338401
Sassicaia,4.6,107646,3.488095,0.0,1.7056901,3.8796737
Opus One,4.6,77053,3.816858,0.0,1.6506873,3.3543363
Pauillac (Premier Grand Cru Classé),4.6,73615,4.0950465,0.0,1.714406,4.116994
Valbuena 5º,4.6,72784,3.6818671,0.0,1.8354994,3.459332
Almaviva,4.6,48075,3.0401866,0.0,1.8851886,3.53141
Bolgheri Superiore,4.6,47939,3.4603708,0.0,1.788846,3.8922803
Château Margaux (Premier Grand Cru Classé),4.6,45350,4.170338,0.0,1.6031541,3.8258963
Cristal Brut Champagne (Millésimé),4.6,42456,4.416872,4.2817607,1.7896918,3.3338401
Pessac-Léognan (Premier Grand Cru Classé),4.6,39605,4.228074,0.0,1.6701751,4.236691
Pauillac (Premier Grand Cru Classé),4.6,39283,4.117049,0.0,1.6689028,4.1171813
Grand Vin Pauillac (Premier Grand Cru Classé),4.6,38521,4.134296,0.0,1.6716481,4.1408772
Tenuta Tignanello 'Solaia',4.6,33143,3.0641637,0.0,1.8885487,2.9705827
Insignia,4.6,30674,3.8176463,0.0,1.7427489,3.4895406
Grande Cuvée,4.6,28513,4.360128,4.20016,1.7896918,3.3338401
Saint-Émilion Grand Cru (Premier Grand Cru Classé),4.6,28198,3.36467,0.0,1.7328519,3.43769
Clos Apalta,4.6,23256,3.067916,0.0,1.8053383,3.546138
Saint-Émilion Grand Cru (Premier Grand Cru Classé),4.6,22896,3.382386,0.0,1.7933086,3.5282295
Vintage,4.6,16918,4.515321,4.369318,1.7896918,3.3338401
Rutherford,4.6,16322,3.8225102,0.0,1.6017184,3.2889876
Brut Rosé Champagne,4.6,13747,4.317013,4.2613616,1.7896918,3.3338401
Cabernet Sauvignon (Signature),4.6,13730,3.4052458,0.0,1.5901945,3.4223385
La Piu Belle,4.6,13420,3.5956354455095862,0.0,1.7896918,3.3338401
Vin de Constance (Natural Sweet),4.6,13210,4.958154,0.0,4.960214,3.3338401
Sir Winston Churchill Brut Champagne,4.6,12873,4.4169583,4.282259,1.7896918,3.3338401
'Giulio Ferrari' Riserva del Fondatore,4.6,12592,3.3285792,3.3303866,1.7896918,3.3338401
Sperss Barolo,4.6,10950,4.666537,0.0,1.6009856,4.3828244
Kurni Marche,4.6,10261,3.0215945,0.0,2.7642388,3.0118766
Nosotros Single Vineyard Nómade,4.6,9995,2.6501634,0.0,2.1509123,2.8981028
CASK 23 Cabernet Sauvignon,4.6,9464,3.3622434,0.0,1.6187876,3.3346488
L'Hermitage,4.6,8592,3.5292687,0.0,1.64957,4.076523
VIK,4.6,8493,3.008086,0.0,1.9214224,3.4820104
R.D Extra Brut Champagne (Récemment Dégorgé),4.6,7737,4.4763446,4.270804,1.7896918,3.3338401
Continuum Estate,4.6,6949,3.8341439,0.0,1.7110485,3.5678773
Saint-Émilion Grand Cru (Premier Grand Cru Classé),4.6,6637,3.4151723,0.0,1.8411175,3.5042195
Rubicon,4.6,6421,3.8794467,0.0,1.6132872,3.4042459
Pingus,4.6,6013,3.801916,0.0,1.8904002,3.643772
Cabernet Sauvignon,4.6,5927,3.8848352,0.0,1.64487,3.9140685
Cristal Rosé Brut Champagne (Millésimé),4.6,5883,4.497997,4.3040667,1.7896918,3.3338401
Blanc des Millénaires,4.6,5581,4.454617,4.3010316,1.7896918,3.3338401
Saint-Émilion Grand Cru,4.6,5390,3.393447,0.0,1.7287028,3.4648895
Red,4.6,4933,3.121747,0.0,1.8333554,3.3089528
Côte-Rôtie La Turque,4.6,4891,3.877427,0.0,1.7111404,3.9625063
La Nieta,4.6,4508,3.6110392,0.0,2.0053296,3.6623647
Côte-Rôtie La Mouline,4.6,4380,3.8720932,0.0,1.7132782,3.8802671
Côte-Rôtie La Landonne,4.6,4068,3.8996758,0.0,1.6999345,4.1336656
Les Pavots,4.6,4010,3.7985215,0.0,1.7973351,3.8089683
Sorì Tildìn (Barbaresco) Langhe,4.6,3955,4.7012973,0.0,1.6132797,4.0354605
Lodovico,4.6,3860,2.989398,0.0,1.919053,2.9573863
Sorì San Lorenzo,4.6,3857,4.7262807,0.0,1.7701341,4.219747
Veneto Rosso del Bepi,4.6,3747,2.4586756,0.0,2.4127154,2.9060361
Malleolus de Sanchomartin,4.6,3655,3.7755213,0.0,1.8495954,3.6502056
Red,4.6,3639,3.5781045,0.0,1.7820876,3.4990153
Rosé,4.6,3605,4.410962,4.1913204,1.7896918,3.3338401
Musigny Grand Cru (Cuveé Vieilles Vignes),4.6,3533,4.1379943,0.0,1.8582504,2.6746163
Cirsion Rioja,4.6,3474,3.711729,0.0,1.9234011,3.8563433
Brunello di Montalcino Riserva,4.6,3375,3.830859,0.0,1.650779,3.602499
Viña El Pison,4.6,3027,3.2864294,0.0,1.7621776,3.6354012
Au Paradis Cabernet Sauvignon,4.6,3004,3.2921212,0.0,1.6613371,3.2170093
Campo del Titari Amarone della Valpolicella Classico Riserva,4.6,2946,2.2957995,0.0,3.3925745,2.367429
Costa Russi (Barbaresco) Langhe,4.6,2876,4.6500616,0.0,1.7797054,3.962805
Calcarole Amarone della Valpolicella Classico,4.6,2757,2.199505,0.0,3.4144526,2.1739233
Alabaster,4.6,2708,2.7305465,0.0,1.9812388,3.296595
Tokaji Aszú 6 Puttonyos,4.6,2366,4.829434,0.0,4.8875446,3.3338401
Chevalier-Montrachet Grand Cru,4.6,2340,3.2542887,0.0,2.0061862,3.3338401
La Joie,4.6,2285,3.8834448,0.0,1.6734424,3.975856
Contador Rioja,4.6,2240,3.5871537,0.0,1.7535176,3.7109313
Campo Inferi Amarone della Valpolicella Classico Riserva,4.6,2112,2.2221038,0.0,3.2049477,2.4400218
Montrachet Grand Cru Marquis de Laguiche,4.6,1970,3.1082401,0.0,1.9866148,3.3338401
Pignan Châteauneuf-du-Pape Réserve Rouge,4.6,1881,3.0647666,0.0,1.9042784,2.7835867
Tenuta Guado al Tasso Matarocchio,4.6,1875,3.176831,0.0,1.822357,3.0939744
Scharzhofberger Riesling Auslese,4.6,1666,4.5937014,0.0,2.7846162,3.3338401
Chateauneuf-du-Pape Réserve des Célestins,4.6,1633,3.1329765,0.0,2.0052009,3.0196457
Brunello di Montalcino Riserva,4.6,1589,3.818474,0.0,1.6230472,3.441192
Maya,4.6,1570,3.8841164,0.0,1.8834581,3.5358036
Beckstoffer To Kalon Vineyard Cabernet Sauvignon,4.6,1557,3.356546,0.0,1.6047927,3.3129437
Millecento Brunello di Montalcino Riserva,4.6,1364,3.8132358,0.0,1.6345867,3.5395062
Adrianna Vineyard Mundus Bacillus Terrae Malbec,4.6,1358,2.8717265,0.0,2.189404,2.6043994
Aquilon Garnacha,4.6,1343,3.093791,0.0,2.0014906,2.9604108
Vin de Pays de l'Hérault Blanc,4.6,1209,3.0531123,0.0,1.9149225,3.3338401
Bâtard-Montrachet Grand Cru,4.6,1191,3.1919923,0.0,1.9112995,3.3338401
Reserve,4.6,1175,3.5956354455095862,0.0,1.7896918,3.3338401
Vintage Port Nacional,4.6,1122,2.9584723,0.0,4.6771097,3.3338401
La Grande Dame Brut Rosé Champagne,4.6,1118,4.4572988,4.322312,1.7896918,3.3338401
L'Amarone del Maestro Fornaser,4.6,1031,2.0171123,0.0,3.6708946,2.0623736
Barolo Riserva Villero,4.6,803,4.699738,0.0,1.8434756,4.602165
Vin Santo di Montepulciano,4.6,773,4.492628,0.0,4.952543,3.3338401
Musigny Grand Cru,4.6,739,4.298304,0.0,2.04695,2.7951787
Corton-Charlemagne Grand Cru,4.6,719,3.379164,0.0,1.7583795,3.3338401
Barolo Cerretta,4.6,684,4.3525333,0.0,1.7573152,4.306321
Vosne-Romanée Premier Cru Aux Reignots,4.6,645,4.042153,0.0,1.9560068,2.5516326
Falletto Barolo Le Rocche del Falletto Riserva,4.6,622,4.675603,0.0,1.9755139,4.443436
Barolo Riserva Monprivato Cà d'Morissio,4.6,588,4.6706405,0.0,1.4942112,4.506091
Finca Garbet,4.6,573,3.0190568,0.0,1.7993909,3.1087425
Cabernet Sauvignon Coeur De Vallée,4.6,544,3.6127534,0.0,1.5982896,3.4367423
Montrachet Grand Cru,4.6,495,3.108794,0.0,2.049862,3.3338401
Ampio,4.6,481,3.1355183,0.0,1.6122587,3.1249957
Tordiz 40 Year Old Tawny Port,4.6,474,3.2046902,0.0,4.119861,3.3338401
L'Extravagant de Doisy-Daëne Sauternes,4.6,465,4.4039354,0.0,4.980402,3.3338401
Octavius Amarone della Valpolicella Riserva,4.6,450,2.1438131,0.0,3.1875901,2.3830216
La Faraona Bierzo (Corullón),4.6,423,3.6081464,0.0,1.746712,2.9734766
Quiñon de Valmira,4.6,377,3.7825353,0.0,1.4984263,3.5867922
Perpiero,4.6,351,3.015028,0.0,1.6207002,3.2624788
Touran,4.6,274,3.1344543,0.0,2.1461916,3.0739422
Montrachet Grand Cru,4.6,269,3.2796266,0.0,2.0719697,3.3338401
Barolo Arione,4.6,259,4.0684004,0.0,1.5432729,4.1590405
888 Pinotage Gold,4.6,234,2.7733798,0.0,1.5840741,2.963426
The Journeyman,4.6,231,3.6566563,0.0,1.9845128,3.225787
Recioto della Valpolicella (Monte Lodoletta),4.6,227,3.5956354455095862,0.0,1.7896918,3.3338401
Clos de Tart Grand Cru,4.6,214,4.0906606,0.0,1.969902,2.92445
Croce Del Gal Riserva Amarone della Valpolicella Classico,4.6,188,2.4575524,0.0,2.9229722,2.5947554
Bassolino di Sopra Brunello di Montalcino,4.6,174,3.8497093,0.0,1.6474727,3.7133453
Cabernet Sauvignon,4.6,152,3.0968847,0.0,1.4456885,3.6533635
EABA,4.6,151,3.2767448,0.0,2.0294268,3.7678387
Cuve 38 Blanc de Blancs Champagne (La Réserve Perpétuelle),4.6,149,4.669732,4.4291544,1.7896918,3.3338401
Lithology Cabernet Sauvignon,4.6,148,3.3221939,0.0,1.734915,3.7305274
Bure Alto Amarone  della Valpolicella Classico Riserva,4.6,132,2.2535899,0.0,3.52959,2.086923
Musigny Grand Cru,4.6,128,4.0257854,0.0,2.1066804,2.4661705
Gran Buig Priorat,4.6,125,3.7094045,0.0,1.3689655,3.4454544
Ginés Liébana Pedro Ximénez,4.6,120,2.6156108,0.0,4.04,3.3338401
Graacher Himmelreich Riesling Auslese 'Goldkapsel',4.6,119,4.6801662,0.0,3.0887501,3.3338401
A50 Amarone della Valpolicella,4.6,100,2.0425925,0.0,2.8771605,1.8407408
Secentenario,4.6,96,2.7810295,0.0,1.6186764,2.7649999
Moss Blanc Verdicchio dei Castelli di Jesi Classico Superiore,4.6,94,3.7857533,0.0,2.0241096,3.3338401
Nettare Veneto Bianco,4.6,87,3.0620143,0.0,2.9499998,3.3338401
Aegusa,4.6,81,3.5956354455095862,0.0,1.7896918,3.3338401
Grande Cuvée Luigi Moio,4.6,80,2.8484375,0.0,1.1800001,3.3338401
Bienvenues-Bâtard-Montrachet Grand Cru,4.6,76,3.3768165,0.0,1.2454681,3.3338401
Colheita Porto Branco,4.6,65,3.349586,0.0,4.4869823,3.3338401
Collection Vintage 2000 Brut,4.6,58,4.3014283,4.1317296,1.7896918,3.3338401
40 Anos Tawny Port,4.6,57,3.1503105,0.0,3.96795,3.3338401
Aszú 6 Puttonyos Tokaj,4.6,54,5.0,0.0,5.0,3.3338401
Les Riceys Cuvée Cyriès Brut Millesimé Champagne,4.6,43,4.4221816,5.0,1.7896918,3.3338401
Dieci Brunello di Montalcino,4.6,43,3.931605,0.0,1.0,3.9116054
Clos Saint-Denis Grand Cru,4.6,40,4.3766665,0.0,1.6666666,2.1033332
Glesie Climat,4.6,37,3.3639169,0.0,1.7010001,3.3338401
Corton-Charlemagne Grand Cru,4.6,35,3.1680412,0.0,1.5203093,3.3338401
Single Barrel Champagne Grand Cru 'Le Mesnil-sur-Oger',4.6,34,4.9100003,4.796364,1.7896918,3.3338401
Palo Cortado Añada,4.6,27,3.8064706,0.0,3.1847057,3.3338401
Tignanello,4.5,142513,3.082814,0.0,1.7224381,2.9867094
60 Sessantanni Old Vines Primitivo di Manduria,4.5,94289,1.789258,0.0,3.1701102,2.2129438
Ribera del Duero,4.5,69278,3.6902692,0.0,1.8380817,3.5338376
Tenuta Guado al Tasso Bolgheri Superiore,4.5,33392,3.4173176,0.0,1.733469,3.8648884
Flor de Pingus,4.5,32932,3.7273152,0.0,1.8319775,3.5276117
Papillon,4.5,30682,3.8795583,0.0,1.6881932,3.4377155
Grand Vin de Château Palmer (Grand Cru Classé),4.5,29026,4.143142,0.0,1.696457,3.7986615
Brunello di Montalcino,4.5,27452,3.8186848,0.0,1.5962596,3.6097949
Comtes de Champagne Blanc de Blancs,4.5,27449,4.404773,4.298936,1.7896918,3.3338401
La Grande Année Brut Champagne,4.5,24646,4.3674808,4.3037186,1.7896918,3.3338401
Clio,4.5,24553,2.9907131,0.0,2.015409,2.9357808
Barbaresco,4.5,24516,4.6545653,0.0,1.6031228,4.015384
Castillo Ygay Gran Reserva Especial Tinto,4.5,23170,3.7596183,0.0,1.7798774,3.7520678
Dominus (Christian Moueix),4.5,22117,3.8267472,0.0,1.683546,3.5360577
Flaccianello della Pieve,4.5,21518,3.19551,0.0,1.7224033,3.1631904
Ben Ryé Passito di Pantelleria,4.5,21351,3.5956354455095862,0.0,1.7896918,3.3338401
Belle Epoque Brut Champagne,4.5,20992,4.3558774,4.21176,1.7896918,3.3338401
Tenuta Nuova Brunello di Montalcino,4.5,20934,3.820147,0.0,1.7909194,3.598853
Isosceles,4.5,18920,3.8931477,0.0,1.5961691,3.697372
Gran Enemigo,4.5,18739,3.618031,0.0,1.9202298,3.5904343
Aconcagua Valley,4.5,18482,3.1234899,0.0,1.9092625,3.5512285
Dom Ruinart Blanc de Blancs Brut Champagne,4.5,18466,4.2583113,4.1942058,1.7896918,3.3338401
La Grande Dame Brut Champagne,4.5,17474,4.434174,4.313677,1.7896918,3.3338401
Overture,4.5,16804,3.7507076,0.0,1.6481601,3.3019812
One Point Five Cabernet Sauvignon,4.5,16341,3.6205707,0.0,1.615925,3.4699059
Pessac-Léognan (Grand Cru Classé de Graves),4.5,15975,4.194294,0.0,1.7193894,4.232646
Saint-Émilion Grand Cru (Premier Grand Cru Classé),4.5,15671,3.3821888,0.0,1.8600491,3.5267162
Valpolicella Superiore Monte Lodoletta,4.5,13024,3.5089638,0.0,2.3023562,2.86965
Valpolicella Classico Superiore,4.5,12262,3.468134,0.0,2.1406128,2.5882344
Pomerol,4.5,12214,3.3711822,0.0,1.801,3.4681149
Monte Bello,4.5,11978,3.931059,0.0,1.7522715,4.025771
Gran Reserva 890,4.5,11347,3.7349415,0.0,1.7166057,3.687399
FAY Cabernet Sauvignon,4.5,10840,3.3367584,0.0,1.6258094,3.2626133
5 Stelle Sfursat,4.5,10740,4.598433,0.0,1.927198,4.336158
Amarone della Valpolicella Classico Riserva (Sergio Zenato),4.5,9963,2.2202897,0.0,3.317101,2.303083
Grand Siècle Champagne (Grande Cuvée),4.5,9824,4.2405996,4.1706553,1.7896918,3.3338401
Pomerol,4.5,9531,3.3779693,0.0,1.6909002,3.4706314
Limited Edition 10 Vendemmie,4.5,9453,3.6990364,0.0,2.054572,2.764013
Vin de Pays de l'Hérault,4.5,8933,3.696465,0.0,1.8121092,3.4815395
Bramare Marchiori Vineyard Malbec,4.5,8713,2.6405706,0.0,2.261276,2.5201719
Silex,4.5,8386,3.982279,0.0,1.5705318,3.3338401
Finca Altamira Malbec,4.5,8093,2.8588457,0.0,2.0809925,2.6432955
Cuvée Annamaria Clementi (Extra Brut),4.5,7928,3.8442688,3.318085,1.7896918,3.3338401
Brunello di Montalcino,4.5,7883,3.837731,0.0,1.6460528,3.503923
Finca Bella Vista Malbec,4.5,7663,2.8418646,0.0,2.19353,2.6162858
Lupi Rezerva,4.5,7604,3.5956354455095862,0.0,1.7896918,3.3338401
Poggio all'Oro Brunello di Montalcino Riserva,4.5,7033,3.871886,0.0,1.7356478,3.508806
Amarone della Valpolicella Classico,4.5,6669,2.2049556,0.0,3.3598473,2.2518773
Relentless,4.5,6633,3.0464847,0.0,1.6779581,3.6433094
S.L.V. Cabernet Sauvignon,4.5,6560,3.4074993,0.0,1.5965983,3.3895879
Luce Brunello di Montalcino,4.5,6544,3.8107924,0.0,1.7594243,3.6287549
Howell Mountain Cabernet Sauvignon,4.5,6466,3.415652,0.0,1.6268119,3.5621636
Pietro Dal Cero Amarone della Valpolicella,4.5,6424,2.378941,0.0,3.1801608,2.3993819
Cuvée Nicolas François Billecart Brut Champagne,4.5,6228,4.494786,4.3329377,1.7896918,3.3338401
Hommage à Jacques Perrin Châteauneuf-du-Pape,4.5,6121,3.1056042,0.0,1.7615204,2.902904
Barolo Cascina Francia,4.5,6045,4.5209603,0.0,1.6290693,4.3313737
Bibbona,4.5,5981,3.1019683,0.0,1.7836055,3.022905
Gaia & Rey Langhe,4.5,5909,3.221216,0.0,2.4886413,3.3338401
Amour de Deutz Millésimé Brut Champagne,4.5,5532,4.2636185,4.140599,1.7896918,3.3338401
Messorio,4.5,5514,3.0969987,0.0,1.9021307,3.0368488
Tokaji Aszú 5 Puttonyos,4.5,5449,4.960792,0.0,4.9386196,3.3338401
Redigaffi Toscana,4.5,5212,3.0276775,0.0,1.99489,3.018877
Cosimo Varvaglione Collezione Privata Primitivo di Manduria,4.5,5016,1.8888605,0.0,3.1291568,2.2416334
Clos de Tart Grand Cru Monopole,4.5,4948,4.171164,0.0,1.7857957,2.7014532
MV,4.5,4763,4.2182946,4.1276064,1.7896918,3.3338401
Clos des Goisses Champagne,4.5,4662,4.4161983,4.3269196,1.7896918,3.3338401
Campolongo di Torbe Amarone della Valpolicella Classico,4.5,4392,2.2195082,0.0,3.2979991,2.3750587
Brunello di Montalcino,4.5,4357,3.8021264,0.0,1.901532,3.6152282
Douro Pintas Tinto,4.5,4167,3.1070662,0.0,1.7243667,3.659873
Clos Sainte Hune Riesling Alsace,4.5,4106,4.4354753,0.0,2.3837361,3.3338401
Pieve Santa Restituta Sugarille Brunello di Montalcino,4.5,3717,3.915702,0.0,1.729886,3.6711247
Brunello di Montalcino Riserva Madonna del Piano,4.5,3506,3.909161,0.0,1.6784105,3.7303543
Trasnocho,4.5,3399,3.7219884,0.0,1.871458,3.795829
Pieve Santa Restituta Rennina Brunello di Montalcino,4.5,3393,3.89392,0.0,1.7531106,3.645553
Kalós Cru Gran Reserva Malbec,4.5,3351,2.821417,0.0,2.4885175,3.2759695
Mazzano Amarone Della Valpolicella Classico,4.5,3276,2.3791337,0.0,3.1861618,2.589487
Darmagi Langhe,4.5,3184,2.4285307,0.0,2.065667,3.1359265
Cabernet Sauvignon,4.5,3087,3.8692966,0.0,1.5403899,3.7955115
Series C,4.5,3027,3.6215973,0.0,1.7896918,3.3559442
Toscana Rosso,4.5,2799,3.1433663,0.0,2.0958486,3.0737605
Gran Reserva Ribera del Duero,4.5,2777,3.7277484,0.0,1.7389879,3.507639
Gran VU Blend,4.5,2773,2.9918435,0.0,1.7093651,3.571008
Madonna delle Grazie Brunello di Montalcino,4.5,2747,3.8020136,0.0,1.78457,3.6632488
Altura,4.5,2733,3.0880187,0.0,1.7505343,3.4341447
Brunello di Montalcino,4.5,2623,3.877622,0.0,1.8619267,3.622076
Vintage Port,4.5,2614,2.8633018,0.0,4.737983,3.3338401
Bonnes-Mares Grand Cru,4.5,2595,4.1815014,0.0,1.929253,2.7975812
Adrianna Vineyard Fortuna Terrae Malbec,4.5,2589,2.870812,0.0,2.1823618,2.59951
The Armagh Shiraz,4.5,2472,3.073255,0.0,2.1185503,3.1637821
Aszú 6 puttonyos,4.5,2450,4.8832455,0.0,4.911953,3.3338401
Conteisa Langhe,4.5,2295,3.4485388,0.0,1.9082872,3.5828598
Ca’ del Merlo Rosso Veneto,4.5,2198,2.4017632,0.0,2.1695538,2.7463377
Toscana,4.5,2185,3.0836563,0.0,1.9710017,2.996743
Pian delle Vigne Vignaferrovia Brunello di Montalcino Riserva,4.5,2165,3.843529,0.0,1.6489447,3.5629516
Amancio,4.5,2076,3.690204,0.0,2.1217496,3.8004334
Cerretta Barolo Riserva (Vigna Bricco),4.5,2065,4.644659,0.0,1.6062539,4.583418
Coteau de Vernon Condrieu,4.5,2015,2.4052055,0.0,2.1876152,3.3338401
Les Poyeux Saumur Champigny,4.5,2005,3.9530256,0.0,2.2080355,3.5094397
Brunello di Montalcino Riserva Pianrosso Santa Caterina d'Oro,4.5,1971,3.9761274,0.0,1.6299964,3.66428
La Muse,4.5,1948,3.8187344,0.0,1.6414376,3.8545506
Falletto Barolo Le Rocche del Falletto,4.5,1883,4.6375737,0.0,1.6728317,4.315218
Brunello di Montalcino Riserva,4.5,1875,3.8509295,0.0,1.5460424,3.4976366
1694 Classification Red,4.5,1841,3.0413423,0.0,1.5345964,3.1595838
Les Clos Chablís Grand Cru,4.5,1750,4.0021567,0.0,1.609475,3.3338401
Cuvée des Enchanteleurs Brut Champagne,4.5,1732,4.4428163,4.177443,1.7896918,3.3338401
Barolo Riserva Granbussia,4.5,1728,4.5848675,0.0,1.7309649,4.342974
Le Désir,4.5,1694,3.8459346,0.0,1.4755096,3.9275227
Baffonero Maremma Toscana,4.5,1682,3.1772227,0.0,1.9581413,3.180012
Chablis Grand Cru 'Valmur',4.5,1653,3.878626,0.0,1.6148579,3.3338401
Chassagne-Montrachet Premier Cru Morgeot Marquis de Laguiche ,4.5,1640,3.2229097,0.0,1.7449552,3.3338401
The Stork,4.5,1638,3.364303,0.0,1.9320465,3.072115
Rocche dell'Annunziata Barolo Riserva,4.5,1609,4.720542,0.0,1.6368265,4.43705
Barolo Bussia Romirasco,4.5,1544,4.677045,0.0,1.6730256,4.434198
N.P.U. Extra Brut Champagne (Nec Plus Ultra),4.5,1482,4.434429,4.1901326,1.7896918,3.3338401
Brunello di Montalcino,4.5,1365,3.8525658,0.0,1.5295734,3.5759313
Blueline Estate Cabernet Sauvignon,4.5,1321,3.3677397,0.0,1.8100928,3.4550798
Echezeaux Grand Cru,4.5,1311,4.1542106,0.0,2.1487,2.6843195
Richebourg Grand Cru,4.5,1296,4.2243257,0.0,2.031315,2.7235265
Lupi e Sirene Riserva,4.5,1292,3.8292072,0.0,1.6768823,3.6573942
Brunate  Barolo,4.5,1289,4.668839,0.0,1.7103062,4.4732776
Le Bourg Saumur Champigny,4.5,1264,3.9739747,0.0,2.005911,3.4819372
Rocche dell'Annunziata Torriglione Barolo,4.5,1222,4.6348357,0.0,1.7370698,4.4885283
Bonnes-Mares Grand Cru,4.5,1208,4.071169,0.0,2.1367705,2.5839636
Pessac-Léognan Blanc (Grand Cru Classé de Graves),4.5,1206,2.847803,0.0,2.0481691,3.3338401
Bâtard-Montrachet Grand Cru,4.5,1182,3.205611,0.0,1.809467,3.3338401
Kapnios Aglianico,4.5,1134,2.4206295,0.0,2.5232413,2.6401153
Campogiovanni Brunello di Montalcino Riserva Il Quercione,4.5,1107,3.803408,0.0,1.8187361,3.4581358
Camí Pesseroles,4.5,1083,3.5379124,0.0,1.8081999,3.3610651
Faith,4.5,1048,2.907444,0.0,1.484391,3.4755833
Boal Madeira,4.5,1023,4.0002613,0.0,4.7262273,3.3338401
Champagne,4.5,1021,4.522913,4.2451367,1.7896918,3.3338401
Negru de Purcari Limited Edition,4.5,970,3.5956354455095862,0.0,1.7896918,3.3338401
Pedro Ximenez Tradición 20 Years Old Vos,4.5,954,3.0485075,0.0,4.6604476,3.3338401
Yarden Katzrin,4.5,894,2.9386032,0.0,1.7388242,2.9930568
Toscana Bianco,4.5,833,3.8539917,0.0,2.2274275,3.3338401
Brut Rosé Champagne,4.5,830,4.150489,4.2800965,1.7896918,3.3338401
